cikkszam,korona,Eszköz,Alszám,lelszam,Megnev,dátuma,Beszért,KumÉCS,Kszért,Pénznem,Telephely,Gyártszám,Típusmegn,Mennyiség,mennyitip,Tipus,Hely,Megjegyzés,Mező20,Mező21
1833-000130,,100084,0,027963,SZOFTVER (NORTON GHOST 2005),04/05/2006,20760,-20760,0,HUF,2080000000,0,0,1,DB,SZOFTVER,-,SELEJT,,
1833-000137,,100090,0,032168,LICENC (WORKSTATION LINUX),04/04/2007,88776,-88776,0,HUF,2080000000,?,LINUX,2,DB,SZOFTVER,-,SELEJT,,
1833-000138,,100091,0,032169,LICENC (WORKSTATION WINDOWS),04/04/2007,88776,-88776,0,HUF,2080000000,?,WINDOWS,2,DB,SZOFTVER,-,SELEJT,,
1833-000165,,100115,0,032945,LICENSZ (WINDOWS VISTA),17/10/2007,49108,-49108,0,HUF,2080000000,NINCS,WINDOWS VIST,1,DB,SZOFTVER,-,SELEJT,,
1833-000172,,100122,0,033191,LICENSZ (MIKROTIK OS LEVEL 5),27/11/2007,41400,-41400,0,HUF,2080000000,6EIN-GY0,MIKROTIK OS,3,DB,SZOFTVER,SZERVER,3 hosszú routerboard,,
1833-000177,,100127,0,033945,SZOFTVER CSOMAG (MAC OS X LEOPARD),14/02/2008,34068,-34068,0,HUF,2080000000,?,MAC OS X,1,DB,SZOFTVER,-,SELEJT,,
1833-000180,,100130,0,034079,LICENSZ (CM R3 1-5 NEW LIC),13/03/2008,37560,-37560,0,HUF,2080000000,?,CM R3 1-5 LI,1,DB,SZOFTVER,-,AVAYA,,
1833-000190,,100139,0,034660,LICENSZ (MIKROTIK OS LEVEL 5),07/05/2008,16200,-16200,0,HUF,2080000000,NINCS,MIKROTIK OS,1,DB,SZOFTVER,SZERVER,Koli MT,,
1213-000013,1/17114,100491,0,017593,PORSZIVÓ,26/09/2003,19900,-19900,0,HUF,2080000000,,AEG,1,DB,NEM INFO,,,,
1213-000015,1/17088,100493,0,017786,HŰTŐSZEKRÉNY,22/09/2003,41999,-41999,0,HUF,2080000000,,ZT 1621,1,DB,NEM INFO,,,,
1213-000016,1/17085,100494,0,017787,MIKROHULLÁMÚ SÜTŐ,22/09/2003,9999,-9999,0,HUF,2080000000,,DELTA,1,DB,NEM INFO,,,,
1213-000105,1/17349,100559,0,019809,HÜTŐSZEKRÉNY,08/04/2004,18500,-18500,0,HUF,2080000000,110042751900004,WESTWL,1,DB,NEM INFO,,,,
1213-002139,1/18608,101453,0,026724,MIKROHULLÁMÚ SÜTŐ,09/11/2005,9999,-9999,0,HUF,2080000000,IS679475GKB24,DAE KOR 6H77,1,DB,NEM INFO,,,,
1213-002930,1213-002930,101751,0,030876,VÍZFORRALÓ,06/12/2006,2699,-2699,0,HUF,2080000000,-,DIM DM705,1,DB,NEM INFO,,,,
1213-002954,,101770,0,031235,LAKATFOGÓ,20/12/2006,26160,-26160,0,HUF,2080000000,-,PROTEK 305,1,DB,INFO,SELET,,,
1213-002956,1/20567,101771,0,031724,CSAVARHÚZÓ (AKKUS),16/01/2007,20400,-20400,0,HUF,2080000000,?,TOPEX 18V,1,DB,INFO,SZERVER,Szürke laptopcellás aksival,,
1213-003014,1/21012,101809,0,032649,ANTENNA,01/08/2007,38880,-38880,0,HUF,2080000000,NINCS,A-2400-02,1,DB,INFO,ÁTVETT,WTF?,ÁTVETT,
1223-000017,B-653,102047,0,016460,PARAFA TÁBLA,21/02/2003,1,-1,0,HUF,2080000000,,,7,DB,NEM INFO,,,,
1223-000036,B-476,102058,0,017603,HEVERŐ SZIVACSOS,23/09/2003,219000,-219000,0,HUF,2080000000,,,10,DB,NEM INFO,,,,
1223-000053,B-476,102067,0,017909,SZIVACSOS HEVERŐ,30/09/2003,65700,-65700,0,HUF,2080000000,,,3,DB,NEM INFO,,,,
1223-000054,B-561,102068,0,017910,AKASZTÓS SZEKRÉNY,30/09/2003,114500,-114500,0,HUF,2080000000,,,5,DB,NEM INFO,,,,
1223-000065,B-425,102078,0,017923,FORGÓSZÉK,23/09/2003,24343,-24343,0,HUF,2080000000,,GINA 3,2,DB,NEM INFO,,,,
1223-000066,B-421,102079,0,017924,SZÉK,23/09/2003,816130,-816130,0,HUF,2080000000,,ISO FEKETE,120,DB,NEM INFO,,,,
1223-001600,,102933,0,023307,TANÁRI ASZTAL,15/10/2004,15000,-15000,0,HUF,2080000000,,,1,DB,NEM INFO,,,,
1223-001601,,102934,0,023308,KÉTAJTÓS POLCOS SZEKRÉNY,15/10/2004,29000,-29000,0,HUF,2080000000,,,1,DB,NEM INFO,,,,
1223-001602,,102935,0,023309,HÁROM MUNKAHELYES LABOR ASZTAL,15/10/2004,88800,-88800,0,HUF,2080000000,,,6,DB,NEM INFO,,,,
1223-001603,,102936,0,023310,ISKOLAI TÁMLÁS SZÉK (GÖRGŐS),15/10/2004,154000,-154000,0,HUF,2080000000,,,14,DB,NEM INFO,,,,
1223-003003,B-651/208/2005,103771,0,026289,"FALITÁBLA (KERÁMIA-ACÉL, 100*100)",06/07/2005,23875,-23875,0,HUF,2080000000,BÚTOR,,1,DB,NEM INFO,,,,
1223-003004,B-651/208/2005,103772,0,026291,"FALITÁBLA (KERÁMIA-ACÉL, 200*100)",06/07/2005,41375,-41375,0,HUF,2080000000,BÚTOR,,1,DB,NEM INFO,,,,
1223-003005,B-651/208/2005,103773,0,026290,"FALITÁBLA (KERÁMIA-ACÉL, 200*100)",06/07/2005,208750,-208750,0,HUF,2080000000,BÚTOR,,5,DB,NEM INFO,,,,
1223-003006,B-399/2005/208,103774,0,026294,TANÁRI ASZTAL,12/07/2005,33345,-33345,0,HUF,2080000000,BÚTOR,,1,DB,NEM INFO,,,,
1223-003007,B-333/2005/208,103775,0,026292,TANULÓ ASZTAL,12/07/2005,127805,-127805,0,HUF,2080000000,BÚTOR,,12,DB,NEM INFO,,,,
1223-003008,B-421/2005/208,103776,0,026293,SZÉK,12/07/2005,144687,-144687,0,HUF,2080000000,BÚTOR,ROBINSON,25,DB,NEM INFO,,,,
1223-003062,B-425/2005/208,103791,0,026314,FORGÓSZÉK,06/07/2005,106400,-106400,0,HUF,2080000000,BÚTOR,,7,DB,NEM INFO,,,,
1223-003064,B-347/2005/208,103793,0,026315,ASZTAL,06/07/2005,41895,-41895,0,HUF,2080000000,BÚTOR,,3,DB,NEM INFO,,,,
1223-003065,B-411/2005/208,103794,0,026316,TÁRGYALÓSZÉK,06/07/2005,74100,-74100,0,HUF,2080000000,BÚTOR,,12,DB,NEM INFO,,,,
1223-003086,B-411/2005/208,103802,0,026317,TÁRGYALÓSZÉK,06/07/2005,37050,-37050,0,HUF,2080000000,BÚTOR,,6,DB,NEM INFO,,,,
1223-003087,B-393/2005/208,103803,0,026318,SZÁMÍTÓGÉP ASZTAL,06/07/2005,21280,-21280,0,HUF,2080000000,BÚTOR,,1,DB,NEM INFO,,,,
1223-003088,B-595/2005/208,103804,0,026319,ALACSONY SZEKRÉNY,06/07/2005,27360,-27360,0,HUF,2080000000,BÚTOR,,1,DB,NEM INFO,,,,
1223-003089,B-595/2005/208,103805,0,026320,MAGAS SZEKRÉNY,06/07/2005,42560,-42560,0,HUF,2080000000,BÚTOR,,1,DB,NEM INFO,,,,
1223-003093,B-425/2005/208,103807,0,026321,FORGÓSZÉK,06/07/2005,37905,-37905,0,HUF,2080000000,BÚTOR,,1,DB,NEM INFO,,,,
1223-003094,B-347/2005/208,103808,0,026322,ASZTAL,06/07/2005,111720,-111720,0,HUF,2080000000,BÚTOR,,8,DB,NEM INFO,,,,
1223-003095,B-411/2005/208,103809,0,026323,TÁRGYALÓSZÉK,06/07/2005,197600,-197600,0,HUF,2080000000,BÚTOR,,32,DB,NEM INFO,,,,
1223-003096,B-393/2005/208,103810,0,026326,SZÁMÍTÓGÉP ASZTAL,06/07/2005,54720,-54720,0,HUF,2080000000,BÚTOR,,2,DB,NEM INFO,,,,
1223-003097,B-661/2005/208,103811,0,026332,ÁLLÓFOGAS,06/07/2005,12065,-12065,0,HUF,2080000000,BÚTOR,,1,DB,NEM INFO,,,,
1223-003098,B-394/2005/208,103812,0,026333,ÉTKEZŐ ASZTAL,06/07/2005,28215,-28215,0,HUF,2080000000,BÚTOR,,1,DB,NEM INFO,,,,
1223-003099,B-394/2005/208,103813,0,026335,TEAKONYHA,06/07/2005,44745,-44745,0,HUF,2080000000,BÚTOR,,1,DB,NEM INFO,,,,
1223-003100,B-341/2005/208,103814,0,026336,TÁRGYALÓ ASZTAL,06/07/2005,48640,-48640,0,HUF,2080000000,BÚTOR,,1,DB,NEM INFO,,,,
1223-003101,B-411/2005/208,103815,0,026337,TÁRGYALÓSZÉK,06/07/2005,92625,-92625,0,HUF,2080000000,BÚTOR,,15,DB,NEM INFO,,,,
1223-003149,B-*/2005/208,103839,0,026628,VETÍTŐVÁSZON,22/09/2005,75000,-75000,0,HUF,2080000000,EGYÉB,,3,DB,INFO,studio,,,
1223-003150,B/421/2005/208,103840,0,026630,TANTERMI SZÉK,21/09/2005,197984,-197984,0,HUF,2080000000,BÚTOR,ATLASZ,50,DB,NEM INFO,,,,
1223-003151,B/321/2005/208,103841,0,026631,TANTERMI ASZTAL,21/09/2005,414254,-414254,0,HUF,2080000000,,ATLASZ,30,DB,NEM INFO,,,,
1223-003248,B-655/2006/208,103916,0,027665,TÁBLA (FLIPCHART),07/03/2006,22400,-22400,0,HUF,2080000000,-,NOBO - SHARK,1,DB,NEM INFO,,,,
1223-003579,B-581/2006/208,104172,0,031249,KONTÉNER,21/12/2006,42079,-42079,0,HUF,2080000000,39257,EGYEDI,1,DB,NEM INFO,,,,
1223-003635,NINCS,104218,0,031970,VETÍTŐVÁSZON,10/03/2007,46320,-46320,0,HUF,2080000000,NINCS,REFLECTA,1,DB,INFO,studio,Fémház fekete odallal,,
1223-003636,NINCS,104219,0,031971,VETÍTŐVÁSZON,10/03/2007,46320,-46320,0,HUF,2080000000,NINCS,REFLECTA,1,DB,INFO,b102,,,
1223-003637,NINCS,104220,0,031972,VETÍTŐVÁSZON,10/03/2007,46320,-46320,0,HUF,2080000000,NINCS,REFLECTA,1,DB,INFO,b103,,,
1223-003638,NINCS,104221,0,031973,VETÍTŐVÁSZON,10/03/2007,46320,-46320,0,HUF,2080000000,NINCS,REFLECTA,1,DB,INFO,c raktár,,,
1223-003639,NINCS,104222,0,031974,VETÍTŐVÁSZON,10/03/2007,46320,-46320,0,HUF,2080000000,NINCS,REFLECTA,1,DB,INFO,studio,,,
1223-003640,NINCS,104223,0,031975,VETÍTŐVÁSZON,10/03/2007,46320,-46320,0,HUF,2080000000,NINCS,REFLECTA,1,DB,INFO,,,,
1223-003641,NINCS,104224,0,031976,VETÍTŐVÁSZON,10/03/2007,46320,-46320,0,HUF,2080000000,NINCS,REFLECTA,1,DB,INFO,cisco,,,
1223-003642,NINCS,104225,0,031977,VETÍTŐVÁSZON,10/03/2007,46320,-46320,0,HUF,2080000000,NINCS,REFLECTA,1,DB,INFO,C4,,,
1223-003643,NINCS,104226,0,031978,VETÍTŐVÁSZON,10/03/2007,46320,-46320,0,HUF,2080000000,NINCS,REFLECTA,1,DB,INFO,studio,,,
1223-003644,NINCS,104227,0,031979,VETÍTŐVÁSZON,10/03/2007,46320,-46320,0,HUF,2080000000,NINCS,REFLECTA,1,DB,INFO,studio,,,
1223-003679,B-421/2007/208,104258,0,032482,SZÉK (KARFÁS),13/06/2007,158630,-158630,0,HUF,2080000000,4A811942200,OLÍVIA III/,8,DB,NEM INFO,,,,
1223-003686,B-***/2007/208,104264,0,032798,SZÁMÍTÓGÉPTARTÓ LAP,13/09/2007,30140,-30140,0,HUF,2080000000,YVG068,NINCS,6,DB,NEM INFO,,,,
1223-003687,B-552/2007/208,104265,0,032800,NYITOTT POLC,13/09/2007,37394,-37394,0,HUF,2080000000,YSNP53,NINCS,1,DB,NEM INFO,,,,
1223-003688,B-425/2007/208,104266,0,032801,FORGÓSZÉK (FÖNÖK),13/09/2007,37605,-37605,0,HUF,2080000000,YFON350C,NINCS,1,DB,NEM INFO,,,,
1223-003689,B-553/2007/208,104267,0,032802,ÜVEGES SZEKRÉNY,13/09/2007,92236,-92236,0,HUF,2080000000,YSNF43,NINCS,2,DB,NEM INFO,,,,
1223-003690,B-581/2007/208,104268,0,032803,KONTÉNER (3 FIÓKOS),13/09/2007,129475,-129475,0,HUF,2080000000,YSI552N,NINCS,4,DB,NEM INFO,,,,
1223-003691,B-551/2007/208,104269,0,032804,SZEKRÉNY,13/09/2007,132846,-132846,0,HUF,2080000000,YSNA43,NINCS,3,DB,NEM INFO,,,,
1223-003692,B-425/2007/208,104270,0,032805,FORGÓSZÉK,13/09/2007,98318,-98318,0,HUF,2080000000,Y1080MEK,NINCS,5,DB,NEM INFO,,,,
1223-003692/,,,1,087463,KARFA,20/09/2007,37987,-37987,0,HUF,2080000000,NINCS,,5,DB,NEM INFO,,,,
1223-003693,B/553/2007/208,104271,0,032807,SZEKRÉNY (ASZTAL MAGAS),13/09/2007,29910,-29910,0,HUF,2080000000,YSNA23,NINCS,1,DB,NEM INFO,,,,
1223-003694,B-552/2007/208,104272,0,032808,SZEKRÉNY (TOLÓAJTÓS),13/09/2007,32770,-32770,0,HUF,2080000000,YSNT23,NINCS,1,DB,NEM INFO,,,,
1223-003698,B-653/2007/208,104276,0,032906,PARAFATÁBLA (150*70),08/10/2007,30540,-30540,0,HUF,2080000000,NINCS,EGYEDI,1,DB,NEM INFO,,,,
1223-003699,B-653/2007/208,104277,0,032907,PARAFATÁBLA (180*180),08/10/2007,108000,-108000,0,HUF,2080000000,NINCS,EGYEDI,3,DB,NEM INFO,,,,
1223-003708,B-311/2007/208,104286,0,032962,ÍRÓASZTAL,17/10/2007,721548,-721548,0,HUF,2080000000,NINCS,EGYEDI,50,DB,NEM INFO,,,,
1223-003709,B-411/2007/208,104287,0,032963,TÁRGYALÓSZÉK (IRODAI),17/10/2007,1112616,-1112616,0,HUF,2080000000,NINCS,EGYEDI,100,DB,NEM INFO,,,,
1223-003741,B-653/2007/208,104311,0,033349,VETÍTŐVÁSZON,27/11/2007,18000,-18000,0,HUF,2080000000,86911,REFLECTA ROL,3,DB,INFO,c2?,CEA ban is ez a matrica,,
